1271975136204218370,@HKrassenstein #ChinaLiedAndPeopleDied What is China doing to stop Covid? Oh yeah raising prices on masks.,ChinaLiedAndPeopleDied,en,Sun Jun 14 01:17:59 +0000 2020,159944772,Sandy Spencer,,,,TX
1271975648328691712,"@XHNews Fuck you #china 
You're a murder of innocent  people's. 
😠😠😠😠 Fuck you pig. 
#ChinaLiedPeopleDied  #chinavirus",china ChinaLiedPeopleDied chinavirus,en,Sun Jun 14 01:20:01 +0000 2020,938722034313392130,KK. Srivastava 🌏,,,,"दिल्ली, नोयडा,गुड़गांव, मुंबई "
1271975841627435008,#BeijingVirusOutbreak #BeijingLockdown https://t.co/h7nk8HCYQF,BeijingVirusOutbreak BeijingLockdown,und,Sun Jun 14 01:20:47 +0000 2020,807090301,kim scott,,,,"Vote Blue, USA 🌈"
1271976053318148096,China sentences Australian man Cam Gillespie to DEATH for drug smuggling https://t.co/5aXxTsEUFy #auspol #ChineseVirus #ChinaLiedPeopleDied,auspol ChineseVirus ChinaLiedPeopleDied,en,Sun Jun 14 01:21:37 +0000 2020,25475956,🍍Joe Qlder,,,,All of QLD 🌏
1271977056549531650,"#ChinaLiedPeopleDied 
Coronavirus: Racism 'could play a part in BAME Covid deaths' - BBC News https://t.co/obE7xVDt0y via @getongab",ChinaLiedPeopleDied,en,Sun Jun 14 01:25:37 +0000 2020,1343382872,Anand K.Vajapeyam,,,,India
1271977269238562818,@ChinaInFocusNTD @EpochTimes So much more still to be uncovered about the #ChineseVirus - Even those who think they KNOW are still being surprised by new developments #ChinaLiedPeopleDied,ChineseVirus ChinaLiedPeopleDied,en,Sun Jun 14 01:26:27 +0000 2020,35013035,Dr Sherri Tenpenny,,,,"Cleveland, Ohio"
1271978662313644032,"Beijing reimposes lockdown measures after more #ChinaVirus cases but my only question is how they intend to blame it on the USA? #ChinaLiedPeopleDied #Chinamustfall #Chinaisthevirus 

https://t.co/FgLIqtM9Km",ChinaVirus ChinaLiedPeopleDied Chinamustfall Chinaisthevirus,en,Sun Jun 14 01:31:59 +0000 2020,1248578359006621697,Stan Doffish,,,,Not near you
1271979420685910016,"Battery Maker Manz in Restarts Factories in Germany and Italy after #COVID19 Shutdown; 1600 workers, $287M Revenue
https://t.co/ODSE02CDd0
18 Apr 2020

.. develops and produces in (..) China and Taiwan.

#CoronaVirus #WuhanVirus #CCPVirus

qt-covid19-news-338 by #BorderObserver",COVID19 CoronaVirus WuhanVirus CCPVirus BorderObserver,en,Sun Jun 14 01:35:00 +0000 2020,865823924805914624,CoVid19 automatic statistics,,,,United States
1271980312780775429,@chitraaum #chinesevirus #communistvirus get into Nepal,chinesevirus communistvirus,en,Sun Jun 14 01:38:33 +0000 2020,3196668596,Nishith Agrawal,,,,India
1271981578218901504,"""White House trade adviser Peter Navarro on Monday accused #China of sending low-quality and even #counterfeit #coronavirus antibody #testingkits to the United States and of “profiteering” from the pandemic."" (Reuters) #ChinaLiedPeopleDie #MakeChinaPay",China counterfeit coronavirus testingkits ChinaLiedPeopleDie MakeChinaPay,en,Sun Jun 14 01:43:35 +0000 2020,125873258,Antonio Graceffo,,,,"Ulaanbaatar, Mongolia"
