1256464353366179840,Leaked Western intel dossier reveals how China deceived the world about #coronavirus  #ChinaLiedAndPeopleDied  https://t.co/oUK3yoASVk #FoxNews,coronavirus ChinaLiedAndPeopleDied FoxNews,en,Sat May 02 06:03:40 +0000 2020,30409067,David 🔺,,,,ORYGUN
1256464780757532672,"The #CCPVirus / #XIVIRUS / #POOHVIRUS Is killing the world, meanwhile #CCP IS BULLYING the world. Wake up WORLD. #boycottMadeInChina #CCPLiedPeopleDied #CCPStillLiesPeopleStillDie https://t.co/3Bw2ChG7kt",CCPVirus XIVIRUS POOHVIRUS CCP boycottMadeInChina CCPLiedPeopleDied CCPStillLiesPeopleStillDie,en,Sat May 02 06:05:22 +0000 2020,1151333369520766989,STEFPMP,,,,Europe.
1256464811195539456,"什么是“ Covid Toe”？可能是冠状病毒感染的奇怪征兆

#中共 #CCP 
#CCPVirus #COVIDー19
#中共病毒 #习近平病毒 #新冠病毒 #生化武器 #李文亮 #李泽华 #方斌 #陈秋实 #艾芬🆘🦠🧬 https://t.co/KbeAcx5fa4",中共 CCP CCPVirus COVIDー19 中共病毒 习近平病毒 新冠病毒 生化武器 李文亮 李泽华 方斌 陈秋实 艾芬,zh,Sat May 02 06:05:29 +0000 2020,234855418,韩荣利,,,,巴黎
1256464924563431427,"RT @SKNonline: #ChineseVirus19 
#ChineseVirus 
#WuhanVirus 
#ChinaLiedAndPeopleDied",ChineseVirus19 ChineseVirus WuhanVirus ChinaLiedAndPeopleDied,und,Sat May 02 06:05:56 +0000 2020,777966625,Radhe Shyam,,,,"Boduppal, Hayathnagar"
1256465408556765184,"RT @SKNonline: #ChineseVirus19 
#ChineseVirus 
#WuhanVirus 
#ChinaLiedAndPeopleDied",ChineseVirus19 ChineseVirus WuhanVirus ChinaLiedAndPeopleDied,und,Sat May 02 06:07:52 +0000 2020,802095494457532416,Dilli,,,,warangal  India
1256465581773127681,"@Reuters Keep your #surroundings #disinfected with #VirusGuard and prevent the spread of #coronavirus.

https://t.co/XwEak900vC

#coronachina #wuhanvirus #mers #covid_19 #Coronaturkey #WuhanCoronaVirus #COVID19 https://t.co/Pij02LupFk",surroundings disinfected VirusGuard coronavirus coronachina wuhanvirus mers covid_19 Coronaturkey WuhanCoronaVirus COVID19,en,Sat May 02 06:08:33 +0000 2020,3798123028,Virus Guard,,,,"İstanbul, Türkiye"
1256466026755010561,"The truth is starting to come out. Dems will be screaming again. #China is responsible. #WHO is responsible 
#ChinaLiedAndPeopleDied
#Wuhan #coronavirus
#WuhanVirus
Bombshell dossier lays out coronavirus case against China https://t.co/TxqIBDWdxC",China WHO ChinaLiedAndPeopleDied Wuhan coronavirus WuhanVirus,en,Sat May 02 06:10:19 +0000 2020,1083648578206093313,Linda ~ USAF Vet #BuildTheWall,,,,Northern CA
1256466312869658624,China epicenter of corona virus. China should take responsibility and allow independent Enquiry or else China has to accept his mistakes. #ChinaLiedPeopleDied #Covid19probe https://t.co/JmmToTthau,ChinaLiedPeopleDied Covid19probe,en,Sat May 02 06:11:27 +0000 2020,97373852,Su-Rappa,,,,India
1256466320058494976,"RT @RedPillMaC: The new plot of the show. China Refuses to Allow WHO Reps to Investigate Coronavirus Origins. 

#ChinaLiedAndPeopleDied #Co…",ChinaLiedAndPeopleDied,en,Sat May 02 06:11:29 +0000 2020,28928290,Tim Tunshell,,,,"Richmond, British Columbia"
1256466500011122688,#ChinaVirus #ChinaLiedPeopleDied #ChinaMustPay @zlj517 @MFA_China https://t.co/V0eKU0924M,ChinaVirus ChinaLiedPeopleDied ChinaMustPay,und,Sat May 02 06:12:12 +0000 2020,766232116501835776,विक्रम । बैताल ।,,,,Bharat 
1256466622249762816,"RT @magawatch2020: “China is a threat to the United States - China is NOT our friend” - Donald J Trump in 2011 

#ChinaLiedPeopleDied #Hold…",ChinaLiedPeopleDied,en,Sat May 02 06:12:41 +0000 2020,1062167521204199425,Wade Choda-Kowalski Sr,,,,"Pukalani, HI"
1256467404680564737,"RT @RedPillMaC: The new plot of the show. China Refuses to Allow WHO Reps to Investigate Coronavirus Origins. 

#ChinaLiedAndPeopleDied #Co…",ChinaLiedAndPeopleDied,en,Sat May 02 06:15:47 +0000 2020,1268383134,All American Tweetie Pie - Text Trump To 88022,,,,"Massachusetts, USA"
