1230335291120066560,#WuFlu #WuhanPneumonia #WuhanLockDown #WuhanCoronavirus #CoronaOutbreak #coronavirus #WuhanFlu #china #nCoV_2019 #2019n_CoV #covid19 #NovelCoronavirus #coronaviruschat #hubei #Epidemic #epidemiology #SARSCov2 #coronavirusoutbreak #Covid2019 https://t.co/t9npJQ5ffE,WuFlu WuhanPneumonia WuhanLockDown WuhanCoronavirus CoronaOutbreak coronavirus WuhanFlu china nCoV_2019 2019n_CoV covid19 NovelCoronavirus coronaviruschat hubei Epidemic epidemiology SARSCov2 coronavirusoutbreak Covid2019,https://twitter.com/ScottGottliebMD/status/1230316408950554624,und,Thu Feb 20 03:36:06 +0000 2020,75207629,Christine AKA Ishtar,,,,"Maryland, USA"
1230335417431535617,"#Nanning a sampling of #china aviation 

#coronavirus
#ChinaCoronaVirus
#Corona
#china
#WuhanCoronavirus
#coronaviruschina
#WuhanOutbreak 
#WuhanPneumonia 
#Wuhan #CoronaVirusOutbreak #CCP #ncov2020 #CoronaVirusFacts #COVID19 #VirusCorona #outbreak #virusoutbreak https://t.co/ALsaY5xBeJ",Nanning china coronavirus ChinaCoronaVirus Corona china WuhanCoronavirus coronaviruschina WuhanOutbreak WuhanPneumonia Wuhan CoronaVirusOutbreak CCP ncov2020 CoronaVirusFacts COVID19 VirusCorona outbreak virusoutbreak,https://twitter.com/ChinaAvReview/status/1230333717060579328,en,Thu Feb 20 03:36:36 +0000 2020,1863660890,Joseph Thavaraja,,,,SRI LANKA
1230335472364187648,#chinazi https://t.co/jyklvT6wYn,chinazi,https://twitter.com/JohnCornyn/status/1230105763114254336,und,Thu Feb 20 03:36:49 +0000 2020,1163706264565645312,Michelle Zmaj,,,,香港
1230335720906051584,#chinazi https://t.co/T3ztUv8FRy,chinazi,https://twitter.com/SenHawleyPress/status/1230186864524570624,und,Thu Feb 20 03:37:49 +0000 2020,1163706264565645312,Michelle Zmaj,,,,香港
1230335832642347010,#chinazi https://t.co/rijhfJnWPM,chinazi,https://twitter.com/SecPompeo/status/1230182054383562752,und,Thu Feb 20 03:38:15 +0000 2020,1163706264565645312,Michelle Zmaj,,,,香港
1230336170799747072,"#COVID2019
#WuhanCoronavirus #WuhanVirus
#WuhanOutbreak #武漢肺炎 #武漢肺炎疫情 https://t.co/TGiwKlAy8p",COVID2019 WuhanCoronavirus WuhanVirus WuhanOutbreak 武漢肺炎 武漢肺炎疫情,https://twitter.com/cnnbrk/status/1230334767201210368,und,Thu Feb 20 03:39:36 +0000 2020,20164824,Jason Lim,,,,Singapore
1230336320918081537,#chinazi https://t.co/DeJf5DGzp1,chinazi,https://twitter.com/RepJimBanks/status/1230157186443218944,und,Thu Feb 20 03:40:12 +0000 2020,1163706264565645312,Michelle Zmaj,,,,香港
1230336385271226368,"சீனாவில் கொரோனா வைரஸ் பரவுவது குறைந்துள்ளது, புதிதாக 394 பேருக்கு மட்டுமே கொரோனா பாதிப்பு உறுதி செய்யப்பட்டது  #ChinaCoronaVirus #coronaviruschina #Corona",ChinaCoronaVirus coronaviruschina Corona,,ta,Thu Feb 20 03:40:27 +0000 2020,1253956303,Jaya Plus,,,,Chennai
1230336394490368001,"@marcorubio that's what happens in a totalitarian state without #FreedomOfPress &amp; with a fragile ego. when the press does not toe the party line, china gov't can't stand its existence so they simply expel it.

so uncivilised for it to happen in the 21st century!

#BoycottChina
#antichinazi",FreedomOfPress BoycottChina antichinazi,,en,Thu Feb 20 03:40:29 +0000 2020,24103060,FPL_Sam 😷,,,,"Newcastle, UK"
1230336599352758273,#chinazi https://t.co/zJUwCuCrN6,chinazi,https://twitter.com/HawleyMO/status/1230134052537151489,und,Thu Feb 20 03:41:18 +0000 2020,1163706264565645312,Michelle Zmaj,,,,香港
1230336689022758912,#chinazi https://t.co/0XFk8u1FIu,chinazi,https://twitter.com/JohnCornyn/status/1230102615800893440,und,Thu Feb 20 03:41:39 +0000 2020,1163706264565645312,Michelle Zmaj,,,,香港
1230336907399196673,#chinazi https://t.co/p1LmhUaEy7,chinazi,https://twitter.com/calgaryherald/status/1230276063659466753,und,Thu Feb 20 03:42:31 +0000 2020,1163706264565645312,Michelle Zmaj,,,,香港
1230336986558300162,#chinazi https://t.co/GVFd149lW0,chinazi,https://twitter.com/BostonGlobe/status/1230270601736138752,und,Thu Feb 20 03:42:50 +0000 2020,1163706264565645312,Michelle Zmaj,,,,香港
1230337026106458123,"Wuhan: China: Residents hope for return of normal. Video. See it only in Global Observer https://t.co/i9OoFK6bH2 #coronavirus #china 
#CoronavirusOutbreak #coronaviruschina #CoronaOutbreak #WuhanOutbreak 
@Gobserver_nu @3toread ..",coronavirus china CoronavirusOutbreak coronaviruschina CoronaOutbreak WuhanOutbreak,http://bit.ly/3bxzHen,en,Thu Feb 20 03:43:00 +0000 2020,20241927,Matt Carroll,,,,"Boston, Massachusetts"
1230337272202977280,#chinazi https://t.co/eUmuF4o0jS,chinazi,https://twitter.com/pressfreedom/status/1230167681443225601,und,Thu Feb 20 03:43:58 +0000 2020,1163706264565645312,Michelle Zmaj,,,,香港
1230337299503861763,"ચીનમાં કોરોનાનો કહેર યથાવત, મૃત્યુઆંક 2 હજારને પાર પહોંચ્યો

Read: https://t.co/HxnHqBbyQ5

#TV9News #Corona #CoronaVirus #ChinaCoronaVirus https://t.co/YZVNRPVdkU",TV9News Corona CoronaVirus ChinaCoronaVirus,http://bit.ly/2vRpmcR,gu,Thu Feb 20 03:44:05 +0000 2020,346406417,tv9gujarati,,,,"Gujarat, India"
1230337556815835136,#StandWithHongKong #CCP #coronaviruschina #Coronavirus #chinazi https://t.co/TYOWXszuXi,StandWithHongKong CCP coronaviruschina Coronavirus chinazi,https://twitter.com/CBNNews/status/1230251226471784448,und,Thu Feb 20 03:45:06 +0000 2020,1175959674,tsumaranai,,,,hong kong
1230337759367385090,"#CoronaViruesue #coronaviruskenya #coronaviruswuhan #Corona 
#Iran https://t.co/xflOAV6lbo",CoronaViruesue coronaviruskenya coronaviruswuhan Corona Iran,https://twitter.com/MohamadAhwaze/status/1230309666032410624,und,Thu Feb 20 03:45:55 +0000 2020,1197018739033567233,zyn_rubaie,,,,Iraq
1230337994961248258,"#新型コロナウィルス 感染者(confirmed case) #WHO  2/19 report  新感染者(new)
中国
1752
湖北省
1693
湖北省以外の中国
59
日本
96
韓国(Republic of Krea)
20
シンガポール(Singapore)
4
世界全体(World)
1872
#CoronavirusOutbreak
#Wuhancoronavirus
#newcoronavirus
https://t.co/ji9UVFDUyN",新型コロナウィルス WHO CoronavirusOutbreak Wuhancoronavirus newcoronavirus,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/situation-reports/,ja,Thu Feb 20 03:46:51 +0000 2020,3237889874,renpa2015,,,,日本 Japan
1230338286108889088,RT @2Runrunblue: ridiculous⬇️👀#CCPChina #chinazi #China #coronavairus #Coronavirustruth #COVID2019 https://t.co/3OJFS5CVuE,CCPChina chinazi China coronavairus Coronavirustruth COVID2019,https://twitter.com/jenniferatntd/status/1229749420234858496,fr,Thu Feb 20 03:48:00 +0000 2020,1132482268776165377,Stock Market Update,,,,"Sydney, New South Wales"
1230338511175213057,#China #chinazi #UnitedNations #globalist #Vaccines #globalID #bioRxiv #coronavirus #BioWeapon https://t.co/XAMT9rqFUA,China chinazi UnitedNations globalist Vaccines globalID bioRxiv coronavirus BioWeapon,https://twitter.com/JackQPublik/status/1230283083942752257,und,Thu Feb 20 03:48:54 +0000 2020,2241288482,SuicideSeattle,,,,Seattle
1230338532159283200,#BoycottChina #AnywherebutChina https://t.co/RjULKH8yqZ,BoycottChina AnywherebutChina,https://twitter.com/ZDFheute/status/1230117381806186496,und,Thu Feb 20 03:48:59 +0000 2020,1163706264565645312,Michelle Zmaj,,,,香港
1230338653924274176,#Coronavirustruth  #ChinaCoronaVirus  #chinacoverup https://t.co/nOMr7MAQgO,Coronavirustruth ChinaCoronaVirus chinacoverup,https://twitter.com/Kate_OKeeffe/status/1230142455711981570,und,Thu Feb 20 03:49:28 +0000 2020,26281040,A concerned ER RN,,,,United States
1230338792235687936,"🇻🇳🏃🇨🇳

#coronavirusbrasil #coronaviruswuhan https://t.co/uSylV17OwQ",coronavirusbrasil coronaviruswuhan,https://twitter.com/HappeningNow__/status/1230224814536675329,und,Thu Feb 20 03:50:01 +0000 2020,1008333199838244864,Montanhista 🇧🇷🔺🏕️,,,,Brasil
1230339026659336192,#qanon #8kun #MAGA #tyranny #coronavirus #chinazi #UnitedNations #globalist #Vaccines #globalID #bioRxiv #FreeHongKong #yellowvest #BioWeapon #cdc #CoronaVirusFacts china bought this bio weapon from university of north Carolina.... boom yw https://t.co/XAMT9rqFUA,qanon 8kun MAGA tyranny coronavirus chinazi UnitedNations globalist Vaccines globalID bioRxiv FreeHongKong yellowvest BioWeapon cdc CoronaVirusFacts,https://twitter.com/JackQPublik/status/1230283083942752257,en,Thu Feb 20 03:50:57 +0000 2020,2241288482,SuicideSeattle,,,,Seattle
1230339258679885825,"RT @Evita_2019: 🔆30 days #ABC_challenge 🔆 
#AnywherebutChina
#BoycottChina 

Day 8:  Bonito Fish Flakes 

🍙Made in Japan 🍙

Trying to make…",ABC_challenge AnywherebutChina BoycottChina,,en,Thu Feb 20 03:51:52 +0000 2020,368334660,ELIZABETH NG BAGUIO🌈,,,,Baguio City
1230339414137679872,RT @SuicideSeattle: #qanon #8kun #MAGA #tyranny #coronavirus #chinazi #UnitedNations #globalist #Vaccines #globalID #bioRxiv #FreeHongKong…,qanon 8kun MAGA tyranny coronavirus chinazi UnitedNations globalist Vaccines globalID bioRxiv FreeHongKong,,en,Thu Feb 20 03:52:29 +0000 2020,769707494,DEPLORABLE MICHELLE,,,,United States
1230339612955930625,"University of North Carolina  responsible for Coronavirus 

CHINA BOUGHT THIS VIRUS FROM UNIVERSITY OF NORTH CAROLINA..  #Taiwan
#China #chinazi #UnitedNations #globalist #Vaccines #yellowvest #FreeHongKong #nwo #BigPharma #bioRxiv #coronavirus #BioWeapon 
https://t.co/PLwIreJ2vm",Taiwan China chinazi UnitedNations globalist Vaccines yellowvest FreeHongKong nwo BigPharma bioRxiv coronavirus BioWeapon,https://www.nature.com/articles/nm.3985,en,Thu Feb 20 03:53:16 +0000 2020,2241288482,SuicideSeattle,,,,Seattle
1230340484259819520,"La #Chine fera don d'un patch de kits de test d'acide nucléique au #Japon alors que la propagation du #Coronavirus #COVID19 s'accélère au Japon &amp; que le pays fait face à une grave pénurie de kits de test selon l'ambassade de Chine au Japon.
#China #Japan #WuhanOutbreak #Pneumonia https://t.co/6slnphxeVQ",Chine Japon Coronavirus COVID19 China Japan WuhanOutbreak Pneumonia,,fr,Thu Feb 20 03:56:44 +0000 2020,861614085275865088,Rebecca Rambar,,,,Cyberland
1230340605965930496,"Israel’s Tyto Care to prevent #coronavirus exposure from patients at Sheba. #CoronaVirusUpdate 
#coronaviruswuhan
#Corona 
https://t.co/g1LkAOdPql",coronavirus CoronaVirusUpdate coronaviruswuhan Corona,https://www.jpost.com/HEALTH-SCIENCE/Israels-Tyto-Care-to-prevent-coronavirus-exposure-from-patients-at-Sheba-618121,en,Thu Feb 20 03:57:13 +0000 2020,17679507,(((Haya Eytan))),34.9684285,31.342253,"Israel, Israel",Israel
1230340823453069315,"RT @MaryJoe38642126: #Officers In .@China 
#Beating #Dogs In Front Of #ResidentsTo Curb #CoronavirusOutbreak #WuhanOutbreak 

#Fears #Unfou…",Officers Beating Dogs ResidentsTo CoronavirusOutbreak WuhanOutbreak Fears,,en,Thu Feb 20 03:58:05 +0000 2020,331475918,CharmenRose,,,,Australia
1230340857426923520,#qanon #8kun #MAGA #tyranny #China #chinazi #UnitedNations #globalist #Vaccines #yellowvest #FreeHongKong #Taiwan #bioRxiv #coronavirus #BioWeapon #cdc #proof #bioterror #bioterrorism https://t.co/yKMqd8uXYh,qanon 8kun MAGA tyranny China chinazi UnitedNations globalist Vaccines yellowvest FreeHongKong Taiwan bioRxiv coronavirus BioWeapon cdc proof bioterror bioterrorism,https://twitter.com/SardegnaNick/status/1230247677071216640,und,Thu Feb 20 03:58:13 +0000 2020,2241288482,SuicideSeattle,,,,Seattle
1230341058858508288,"#business trouble from #coronavirus

#ChinaCoronaVirus
#Corona
#china
#WuhanCoronavirus
#coronaviruschina
#WuhanOutbreak 
#WuhanPneumonia 
#Wuhan #CoronaVirusOutbreak #CCP #ncov2020 #CoronaVirusFacts #COVID19 #VirusCorona #outbreak #virusoutbreak https://t.co/GFae7IDObh",business coronavirus ChinaCoronaVirus Corona china WuhanCoronavirus coronaviruschina WuhanOutbreak WuhanPneumonia Wuhan CoronaVirusOutbreak CCP ncov2020 CoronaVirusFacts COVID19 VirusCorona outbreak virusoutbreak,https://twitter.com/v_shakthi/status/1230340746600828930,en,Thu Feb 20 03:59:01 +0000 2020,1863660890,Joseph Thavaraja,,,,SRI LANKA
1230628274008666113,"DuPont Tyvek Suit Multipurpose Cleanup 3M N95 Mask, Shoe Covers, Apron, 2 Pr Gloves Biohazard https://t.co/9AjxK4xzi7 #ad #coronavirus #coronaoutbreak #wuhanflu #chinaflu #flu #virus #CoronavirusOutbreak #coronaviruswuhan #2019nCoV #COVID19 #wuhan #china #outbreak #CoronavirusUSA",ad coronavirus coronaoutbreak wuhanflu chinaflu flu virus CoronavirusOutbreak coronaviruswuhan 2019nCoV COVID19 wuhan china outbreak CoronavirusUSA,https://amzn.to/2T00t6R,tl,Thu Feb 20 23:00:19 +0000 2020,846210311631851520,Q Style ⭐️⭐️🇺🇸🇺🇸,,,,United States
1230628277099909120,#WuFlu #WuhanPneumonia #WuhanLockDown #WuhanCoronavirus #CoronaOutbreak #coronavirus #WuhanFlu #china #nCoV_2019 #2019n_CoV #covid19 #NovelCoronavirus #coronaviruschat #hubei #Epidemic #epidemiology #SARSCov2 #coronavirusoutbreak #Covid2019 https://t.co/39Q0FnV6ch,WuFlu WuhanPneumonia WuhanLockDown WuhanCoronavirus CoronaOutbreak coronavirus WuhanFlu china nCoV_2019 2019n_CoV covid19 NovelCoronavirus coronaviruschat hubei Epidemic epidemiology SARSCov2 coronavirusoutbreak Covid2019,https://twitter.com/Janet4II/status/1230454865270378497,und,Thu Feb 20 23:00:19 +0000 2020,75207629,Christine AKA Ishtar,,,,"Maryland, USA"
1230628497669881857,"#coronavirus #COVID19 #coronavirusItalia #coronaviruswuhan #coronavirusafrica 
#coronavirususa https://t.co/G8yJ1vMt3f",coronavirus COVID19 coronavirusItalia coronaviruswuhan coronavirusafrica coronavirususa,https://twitter.com/RobertoBurioni/status/1230591179814768640,und,Thu Feb 20 23:01:12 +0000 2020,1093235381124980736,Adam Ben Nasr 🇮🇹,,,,"Livorno, Toscana"
1230628602099720197,#WuFlu #WuhanPneumonia #WuhanLockDown #WuhanCoronavirus #CoronaOutbreak #coronavirus #WuhanFlu #china #nCoV_2019 #2019n_CoV #covid19 #NovelCoronavirus #coronaviruschat #hubei #Epidemic #epidemiology #SARSCov2 #coronavirusoutbreak #Covid2019 https://t.co/ykyKbkpr6H,WuFlu WuhanPneumonia WuhanLockDown WuhanCoronavirus CoronaOutbreak coronavirus WuhanFlu china nCoV_2019 2019n_CoV covid19 NovelCoronavirus coronaviruschat hubei Epidemic epidemiology SARSCov2 coronavirusoutbreak Covid2019,https://twitter.com/hectorology/status/1230561021850292229,und,Thu Feb 20 23:01:37 +0000 2020,75207629,Christine AKA Ishtar,,,,"Maryland, USA"
